scheme,serial_number,category,indian_standard,product_or_material,notification_or_qco,marking_or_conformity_route,source_title,source_url,accessed_on
Scheme II (Registration Scheme),62.,Unclassified / source table heading,IS 60669-2-1: 2008,Particular requirements for Electronic switches standards for Switches for household and similar fixed electrical installations. | Product category: Dimmers for LED products,,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),63.,Unclassified / source table heading,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment – Part 1 Safety Requirements | Product category: Bluetooth speakers",,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),64.,Unclassified / source table heading,IS 18112:2022,Digital Television Receiver for Satellite Broadcast Transmission – Specification | Product category: Television Sets,"Amendment to the Electronics and Information Technology Goods (Requirements for Compulsory Registration) Order, 2021 (S.O. 1929(E), dated 26/04/2023) Extension in timelines for the implementation of the Order for product categories included in the schedule of CRO vide S.O. 1929(E) published in Gazette of India on 26th April, 2023 S.O. 1363(E) Dated 21 March, 2025 Extension in timelines for the implementation of the Order for product categories included in the schedule of CRO vide S.O. 1929(E) published in Gazette of India on 26th April, 2023. S.O. 4362(E) Dated 25 September, 2025 Extension in timelines for the implementation of the Order for product categories included in the schedule of CRO vide S.O. 1929(E) published in Gazette of India on 26th April, 2023. S.O. 352(E) Dated 22 January, 2026 Amendments to the Electronics and Information Technology Goods (Requirements for Compulsory Registration) Order, 2021 S.O.1246 (E) Dated 10 March, 2026 Extension in timeline for the implementation of the Order for product categories included in the schedule of CRO vide S.O. 1929(E) published in Gazette of India on 26th April, 2023 S.O. 4182 (E) Dated 26 July, 2026 |",CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),65.,Unclassified / source table heading,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment – Part 1 Safety Requirements | Product category: Extended Reality Products (Augmented Reality, Virtual Reality, Mixed Reality etc.)","Migration to IS/IEC 62368 : Part 1 : 2023 from IS 13252 : Part 1 : 2010 and IS 616: 2017 S.O. 4997(E) Dated 04 November, 2025 Amendments to the Electronics and Information Technology Goods (Requirements for Compulsory Registration) Order, 2021 S.O.1246 (E) Dated 10 March, 2026 | 2. List of Solar Photovoltaics, Systems, Devices and Components under Compulsory Registration Scheme- Notified by Ministry Of New and Renewable Energy",CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),3.,Unclassified / source table heading,IS 16221 (Part 2),Safety of Power Converters for Use in Photovoltaic Power Systems Part 2-Particular Requirements for Inverters | Product category: Power converters for use in photovoltaic power system,,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),4.,Unclassified / source table heading,IS 16169,Safety of Power Converters for Use in Photovoltaic Power Systems Part 2-Particular Requirements for Inverters | Product category: Power converters for use in photovoltaic power system,,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),5.,Unclassified / source table heading,IS 16270,Test Procedure of Islanding Prevention Measures for Utility-Interconnected Photovoltaic Inverters | Product category: Utility –Interconnected Photovoltaic inverters 3. List of chemicals notified by Ministry of Chemicals and Fertilizers.,,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),1.,Unclassified / source table heading,IS 798:2020,Ortho Phosphoric Acid – Specification | Product category: Ortho Phosphoric Acid,"3. Ortho Phosphoric Acid (Quality Control) Amendment Order, 2021 (S.O. 2335 (E) dated 15.06.2021) Ortho Phosphoric Acid (Quality Control) Amendment Order, 2021 (S.O. 4914(E) dated 29.11.2021) Ortho Phosphoric Acid(Quality Control) Order, 2021 (Amendment order for various chemicals, dated 13/05/2022) Ortho Phosphoric Acid (Quality Control) Amendment Order, 2024 S.O. 1709(E), dated 13th April 2024 Ortho Phosphoric Acid (Quality Control) Second Amendment Order, 2024 S.O. 2975(E), dated 26th July 2024 |",CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),2.,Unclassified / source table heading,IS 17439:2020,Polyphosphoric Acid – Specification | Product category: Polyphosphoric Acid,"4. Polyphosphoric Acid(Quality Control) Order, 2021 (S.O. 5388(E), dated 24.12.2021) Polyphosphoric Acid(Quality Control) Order, 2021 (Amendment order for various chemicals, dated 13/05/2022) |",CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),3.,Unclassified / source table heading,IS 17412:2020,Trimethyl Phosphite – Technical Grade | Product category: Trimethyl Phosphite,"5. Trimethyl Phosphite (Quality Control) Order, 2022 (S.O. 1637(E), dated 05.04.2022) | 4. List of Textile material notified by Ministry of Textiles",CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),1.,Unclassified / source table heading,IS 12171:2019,Cotton Bales- Specification | Product category: Cotton Bales,"6. Cotton Bales (Quality Control) Order, 2023 S.O. 948(E), dated 28 February 2023 Cotton Bales (Quality Control) Amendment Order, 2023 S.O. 3557(E), dated 07 August 2023 Cotton Bales (Quality Control) Amendment Order, 2023 S.O. 3830(E), dated 28 August 2023 Cotton Bales (Quality Control) Amendment Order, 2023 S.O. 3469 (E), dated 13th August 2024 Cotton Bales (Quality Control) Amendment Order, 2023 S.O.2996 (E) Dated 03 July, 2025 Cotton Bales (Quality Control) Amendment Order, 2023 S.O.2956 (E) Dated 09 June, 2026 | Last Updated on July 31, 2026",CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
