scheme,serial_number,category,indian_standard,product_or_material,notification_or_qco,marking_or_conformity_route,source_title,source_url,accessed_on
Scheme II (Registration Scheme),15.,Unclassified / source table heading,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment – Part 1 Safety Requirements | Product category: Automatic Data Processing Machine",,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),16.,Unclassified / source table heading,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment – Part 1 Safety Requirements | Product category: Power Adaptors for IT Equipments","Electronics & Information Technology Goods (Requirements for Compulsory Registration) Order, 2012 Dated 13th November 2012 Notification No. S.O. 2905(E) dated 07 November 2014.pdf) Extension Order for Implementation of Compulsory Registration Order for Select Products included in Schedule of Gazette notified on 30.11.2014 Subsequent Amendments Notification No. S.O. 344(E) dated 30 November 2015.pdf) S.O. 2578(E) dated 07 August 2015.pdf) Superseded by Electronics and Information Technology Goods (Requirement of Compulsory Registration) Order, 2021 Amendments to the Electronics and Information Technology Goods (Requirements for Compulsory Registration) Order, 2021 S.O.1246 (E) Dated 10 March, 2026 |",CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),17.,Unclassified / source table heading,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment – Part 1 Safety Requirements | Product category: Power Adaptors for Audio, Video & Similar Electronic Apparatus",,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),18.,Unclassified / source table heading,IS 16242 (Part 1),General and Safety Requirements for UPS | Product category: UPS/Invertors of rating≤5kVA,,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),19.,Unclassified / source table heading,IS 15885 (Part 2/Sec 13),Safety of Lamp Control gear Part 2 Particular Requirements Section 13 d.c. or a.c. Supplied Electronic Control gear for LED Modules | Product category: DC or AC Supplied Electronic Control gear for LED Modules,,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),20.,Unclassified / source table heading,IS 16046,"Secondary Cells and Batteries containing Alkaline or other non-acid Electrolytes-Safety Requirements for Portable sealed secondary cells, and for Batteries made from them for use in portable applications | Product category: Sealed Secondary Cells/Batteries containing Alkaline or other non-acid Electrolytes for use in portable applications",,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),21.,Unclassified / source table heading,IS 16102(Part 1),Self-Ballasted LED Lamps for General Lighting Services Part 1 Safety Requirements | Product category: Self-Ballasted LED Lamps for General Lighting Services,,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),22.,Unclassified / source table heading,10322 (Part 5/Sec 1),Luminaries Part 5 Particular Requirements Sec 1 Fixed General purpose luminaries | Product category: Fixed General Purpose LED Luminaries,,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),23.,Unclassified / source table heading,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment – Part 1 Safety Requirements | Product category: Mobile Phones",,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),24.,Unclassified / source table heading,IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment – Part 1 Safety Requirements | Product category: Cash Registers",,CRS Registration Mark / self-declaration route (Scheme II),Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
