scheme,serial_number,category,indian_standard,product_or_material,specific_requirement,notification_or_qco,marking_or_conformity_route,source_title,source_url,accessed_on
Scheme IV (Certificate of Conformity),1,Steel and steel products,IS 3024:2015; IS 648:2006; IS 16585:2016,"Stampings, laminations, or cores of transformers, with or without winding","Made from BIS Standard Marked Grain Oriented Electrical Steel Sheet and Strip, Cold Rolled Non-Oriented Electrical Steel Sheet and Strip, or Fe-based amorphous strip delivered semi-processed, as specified.","Steel and Steel Products (Quality Control) Order, 2020 and extensions",Certificate of Conformity (Scheme IV),Scheme IV (Certificate of Conformity),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en,2026-08-28
Scheme IV (Certificate of Conformity),2,Bicycles,IS 10613:2023,Retro-reflective devices for bicycles,Meet the essential requirement in Clause 4.2.2 of IS 10613:2023.,Bicycles—Retro Reflective Devices (Quality Control) Orders and amendments,Certificate of Conformity (Scheme IV),Scheme IV (Certificate of Conformity),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en,2026-08-28
