source_title,source_url,accessed_on
Scheme I (ISI Mark Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en,2026-08-28
Scheme II (Registration Scheme),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-ii-registration-scheme/?lang=en,2026-08-28
Scheme IV (Certificate of Conformity),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-4/?lang=en,2026-08-28
Scheme X (Certification),https://www.bis.gov.in/products-under-compulsory-certification-scheme-x/?lang=en,2026-08-28
Product Certification FAQ,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-08-28
Scheme X FAQ,https://www.bis.gov.in/scheme-x-certification/faq-scheme-x-certification/?lang=en,2026-08-28
Scheme X Product Specific Information,https://www.bis.gov.in/scheme-x-certification/product-specific-information/?lang=en,2026-08-28
Hallmarking FAQ,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/hallmarking-faq/?lang=en,2026-08-28
